id,name,degree,degree_rank,eigenvector,eig_residual
17495,Andrea Nahles,72,102,0.09533580238240587,0.07274073805440054
8486,Ulrich Kelber,56,174,0.0870081187300591,0.06982616360680162
7860,Barbara Hendricks,64,129,0.08907855210163425,0.06919004237600285
15475,Bärbel Kofler,66,120,0.0881332135805625,0.06756806520433761
2825,Thomas Oppermann,57,167,0.08461110845014794,0.06709083400159371
2278,Svenja Stadler,57,167,0.08426791724708814,0.06674764279853392
10814,Caren Marks,51,216,0.0819074739290993,0.06641711543232552
13175,Carsten Schneider,50,225,0.08138845065424437,0.06623641148276732
9562,Bernd Westphal,66,120,0.08658352679321067,0.06601837841698578
5503,Christoph Strässer,55,181,0.082581339041583,0.06573770324362226
8045,Joachim Poß,55,181,0.08213563691544591,0.06529200111748516
10129,Olaf Scholz,69,113,0.08682569744772418,0.06524559109560907
9678,Rolf Mützenich,52,202,0.07846720651951418,0.06263852869744366
17671,Fritz Felgentreu,53,195,0.07847071680213125,0.06230371965476398
5821,Lothar Binding,48,245,0.07577059289119047,0.0612951923703069
8335,Bernd Lange,67,117,0.08020299533742124,0.059299527635899615
19891,Andreas Schwarz,59,158,0.076510870346738,0.05831395724759029
19539,Swen Schulz,58,160,0.07596522984049921,0.05810663606664824
9394,Andreas Rimkus,49,233,0.07290110292829309,0.05808738308211279
369,Axel Schäfer,63,133,0.07734981838433168,0.057799627983997015
14585,Kerstin Tack,50,225,0.07268042536270307,0.05752838619122602
9843,Carsten Sieling,49,233,0.07190514046984496,0.05709142062366466
14633,Brigitte Zypries,44,290,0.06997209963039765,0.05684997641070104
16805,Jens Zimmermann,50,225,0.07183210028681322,0.056680061115336175
17437,Christian Flisek,70,110,0.0785554994618976,0.05663707378448576
20337,Dr. Daniela De Ridder,49,233,0.07107230527426138,0.05625858542808108
9222,Ulla Schmidt,40,363,0.0676443104776645,0.05587546455915486
4720,Cansel Kiziltepe,47,259,0.06956833040526715,0.055431249209680324
9645,Christina Kampmann,49,233,0.06998929778516688,0.05517557793898658
16226,Stephan Weil,53,195,0.07103508070199381,0.054868083554626544
